Questions,A,B,C,D,Correct Option
Choose the word most similar in meaning to the given word.  'BARBARIAN',Uncivilized,Civilized,Professional,Unprofessional,A
Choose the word most similar in meaning to the given word.  'REAL',Copied,Idea,Original,Given,C
Choose the word most similar in meaning to the given word.  'ABSOLUTE',Division,Complete,Small,Half,B
Choose the word most similar in meaning to the given word.  'UNFOLD',Conceal,Withhold,Maintain,Elaborate,D
Choose the word most similar in meaning to the given word.  'COMMENCE',To end,To begin,Nearing finish,To run,B
CHUCKLE' means:,Bouquet of flowers,Displeasing manner,Suppressed laughter,Religious movement,C
"Choose the word nearest in meaning to ""ENIGMA""",Evaluation,Puzzle,Answer,Account,B
Money Grubbing' implies:,Money saving,Money making,Money hunting,Money spending,B
Get into a soup' implies:,Face a predicament,Play a game of cards,Swallow a fly in soup,Go for hot spicy soup,A
ARABLE' means:,Not grown since long,Recently ploughed field,Watered the night before,Fit for cultivation,D
ACQUAINTANCE' means a person whom:,One loves but whom one cannot marry,One knows but who is not a close friend,One can depend on for help in hour of need,One can hire for attempting a question paper,B
APPRAISE' means:,Praise a man out of place,Tell a story at bed time,Evaluate the equality of,Do shopping in bazar,C
Mortal stay' implies:,Life that a man will have after death,Life spent in the company of friend,Life passed in hostel without studying,Life in this world which is sort lived,D
Break the ice' implies:,Walk on ice-sheet,Swallow ice-cube,Chisel an ice-block,To make beginning,D
The committee DISSENTED from the report's conclusions. The capitalized word means:,Differed,Joined,Deliberated,Agreed,A
An 'elegy' is a poem written:,In the memory of little child,On the death of someone dear,On the sighting of an old tutor,In the love of dear sweetheart,B
Commencement' means:,The beginning,The conclusion,The impending,The interloping,A
Aboriginal means:,Alley,Native,Migrate,Displaced,B
Endowed' means:,Checked or corrected,Betrayed or decived,Alarmed or disturbed,Awarded or gifted,D
Archive' means:,A model of building behind museum,A sequential statement of inventions,A collection of record about the past,A chronological order of discoveries,C
Incipient' means:,In coma due to accidental injury,Just starting to be or happening,The recipient of gallantry award,Practitioner of domestic recipes,B
Blot and smudges implies:,Spot of ink and dirty marks,Foul smelling polluted water,Bracelet and bangles of gold,Beautiful neat way of writing,A
"Find out synonym of ""Unburdened""",Serf,Pealing,Confessed,Lament,D
No Wonder' implies:,Not surprising,Traffic mishap,Nothing weird,Seeing strange,A
Some government officials have an irritating habit of THROWING THEIR WEIGHT AROUND EVERYWHERE. The capitalized idiom means:,To redress public grievances,To deliver satisfactory services,To use power and influence,To avail facilities,C
The part of the newspaper in which letters to the editor are published is generally called the AGORY column. The capitalized word most nearly means:,Hilarious jokes,Aggregated problems,Intense excitement,Acute pain,B
Mr. Feroze would rop the dull and wayward students ACROSS THE KNUCKLES. The capitalized iodiom means:,Reprove,Scold,Admire,Amuse,B
ALLUSION' means:,An idea haunting one's mind,A casual or indirect reference,Have a low frequency,Do not affect a photographic plate,B
GET HOLD OF ONESELF' implies:,To start running,To catch a thief,To become calm,To feel exhausted,C
"In composition writing exercise, 'PRECISE' means:",A synopsis for writing an essay in a degree level examination,A critique highlighting the weak point of a feature film story,A resume of the commercial achievements spread over a year,A short summary of the crucial ideas of a longer composition,D
CRANKY SPOUSE' implies:,A carefully selected  loving partner of life,Fussy and bad-tempered wife or husband,Money squandering younger second wife,A device fitted behind the rear seat of a car,B
DENOUNCE' means:,To reject straight away,To praise in a meeting,To condemn publicly,To negoticate secretly,C
ALL BY ONESELF' implies:,Keeping aloof not joining anybody's company,In company and all those present join in hands,Passing one's life singly like a chronic bachelor,Completely alone with no help from someone else,D
INNUMERABLE' means:,In equal members,Numerically scant ,Not in a formation,Too many to count,D
PRECISE' is a short summary of the essential ideas of:,A mixture of passages,The underlying them,The overview practice,A longer composition,D
COME OF AGE' implies:,To get married off,To become very old,To reach maturity,To fall ill and expire,C
ENTOURAGE' means:,Group of companions,Embark on long tons,Place one visits daily,Albums of folk singer,A
HAVE CLEAN HANDS' implies:,Wash one's hands,Go for corruption,Not being guilty,Prepare for prayers,C
Hue and cry' means a:,Colorful cooking,Shouting at the people,Noisy public protest,Loud confused talking,C
"Find out synonym of ""Ventured""",Bed,Pigment board,Submitted,Spectrum,C
"Find out synonym of ""Vulnerable""",Smoke,Quicken,Substitute,Exposed,D
Cynic' and '_______' are synonyms.,Skeptic,Secret,Solitary,Truthful,A
A goosd business man should not be UNSCRUPULOUS while making profits. The capitalized word means:,Unprincipled,Careless,Illegal,Miserly,A
Sabiha's dress FITS HER LIKE A GLOVE. The capitalized phrase means:,Is too big,Is too short,Fits her very well,Is very comfortable,C
Many people don't want THEIR DIRTY LINEN WASHED IN PUBLIC. The capitalized phrase means:,To have their dirty clothes drying on clothes line,To have their private affairs talked about in public,To speak about and criticize something in public,To ask the public to help with a noble cause,B
MISOGYNIST' most nearly means a person who:,Misses his shots,Hates marriage,Is against hunting,Is left out of a sporting team,B
CEMETERY' most nearly means:,Graveyard,Factory,System,Pattern,A
ABORGINAL' most nearly means:,Unoriginal,Native,Cheap,Second rate,B
There is no DEARTH of talent in our country. The capitalized word means:,Training,Shortcoming,Encouragement,Shortage,D
Their hospitality is PROVERBIAL. The capitalized word means:,Sensible,Well-known,Exceptional,Matchless,B
MAKESHIFT is closest in meaning to:,Impulsive,Revolving,Substitute,Practical,A
FORESHADOW is closest in meaning to:,Dread,Disguise,Endanger,Indicate,D
To have an old head on young shoulders means:,To be wiser than one's age,To be young but appear old,To have ache in the shoulders,To be old but appear young,A
BRILLIANT is closest in meaning to:,Sparkling,Glorious,Talented,Showy,C
INVALUABLE is closest in meaning to:,External valuable,Worthless,Highly expensive,Fertile,C
FORGO' is closest in meaning to:,Run away,Do without,Safeguard,Precede,B
The word GAUNT means:,Ill health,Glove,Slout,Gravel,A
To have a windfall refers to:,Bad weather,Receiving gifts,Receiving profits,Sudden calamity,B
The word REPROACH means:,Approach again,Reach again,Blame,Praise,C
The word PROSCRIBE means:,Say with authority,Unwanted behaviour,Denounce,Supporting teacher,C
To burn the candle at both ends refers to:,Hard work,Face great loss,Face challenge,Waste money,D
The word LEVITY means:,Impose one's viewpoint,Serious attitude,Non-serious attitude,Enjoy frequent leave,C
The word INCENSE means:,Make angry,Alert,Fool ill,Encourage,A
The word PRODIGAL means:,Careful with money,Wasteful with money,Wonderful,Helpful to people,B
The word PREDILECTION means:,Preference,Prediction,Reverence,Induction,A
Our players have been very CAPRICIOUS in their performance. The capitalized word means:,Wonderful,Unpredictable,Adventurous,Tricky,B
Homicide:,Is a poison,Means killing members of one's species,Means murder,Means the murderer of one's own family,C
Autocracy is the government of:,One person with absolute power,Lawyers fraternity,Elected representatives of the masses,Intelligentsia,A
The BOTTOM LINE is that we cannot ignore the cultural aspect in education. The capitalized expression means:,Most important thing,The last line in an essay,Conclusion,Trend,A
The word SEISMOLOGY stands for:,An instruement for detecting earthquakes,Study of sea creatures,A branch of astrology,Scientific study of earthquakes,A
Browned off' means:,Grilled properly,Bored,Discouraged,Cleaned,C
Blow great trumpet / horn' refers to: ,Boast,Violent flow of winds,Celebrate enthusiastically,Eruption of war,A
A man of letter is :,A postman,A person who is fond of writing letters,A man well versed in literature,A man who writes letters for others,C
"Choose the word closest in meaning to the word, ""GENOCIDE""",Self destruction,Murder of a father,Murder of a kin,Killing an entire race,D
He EXTOLLED the virtues of the Russian people. ( The capitalized word means:),Admired,Praised,Censured,Adopted,B
The local inns are BURSTING AT THE SEAMS and may not be able to accommodate anymore. (The capitalized phrase means:),Unhygienic,Overcrowded,Empty,Shutting down,B
NEPOTISM' means:,Criticism,Socialism ,Favoritism,Monotheism,C
She found too late that her precious art pieces were NOT WORTH A DIME. The capitalized phrase means:,In good state,New,Of little value,Priceless,C
A pale moon and watery sun are known as PROGNOSTICS of rain. The capitalized word means:,Indications,Start,Cause,Friends,A
DAUNTED means:,Intimidate,Speculate,Emancipate,Evacuate,C
"Choose the word most similar in meaning to the capitalized word, ""REVILE""",Perceive,Pawn,Abuse,Prevent,C
"""Be Poles apart"" means:",Either of the two poles,Having nothing in common,Leading position in a race,Affect somebody greatly,B
"Choose the word most similar in meaning to the capitalized word, ""VESTIGE""",Servile,Embark,Hunch,Indication,D
"Choose the word most similar in meaning to the capitalized word, ""IGNOMINY""",Dishonor,Enthusiasm,Besiege,Contrary,A
"Choose the word opposite in meaning to the capitalized word, ""ANARCHIC""",Riotous,Turbulent,Disordered,Organized,D
Frown on somebody means to:,Fall flat upon a stranger,Stay alive working hard,Unable to be successful,Disapprove of somebody,A
"Choose the word most similar in meaning to the capitalized word, ""PRODIGIOUS""",Enormous,Sacred,Seismic,Tiny,D
"Choose the word most similar in meaning to the capitalized word, ""OBLITERATE""",Offend,Haul,Rent,Destroy,D
